"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"226129_at",-0.671069999999998,7.388625,-4.00096481652494,0.00294390664353444,0.999986929681086,-3.43514317622827
"215664_s_at",1.0500725,4.36443875,3.97264764671699,0.00307482183918055,0.999986929681086,-3.44349718424498
"1555471_a_at",0.679270000000001,8.677525,3.9546799449776,0.00316106973841215,0.999986929681086,-3.44883801229093
"206029_at",1.7728175,8.04085125,3.94011320711173,0.00323286784504562,0.999986929681086,-3.45319084749675
"205111_s_at",0.516722499999999,5.95861125,3.9202708356691,0.00333345195282251,0.999986929681086,-3.45915329564798
"204881_s_at",0.536212500000001,8.62216375,3.91078163921998,0.00338271711472678,0.999986929681086,-3.46201826155262
"221541_at",-1.432275,8.3639925,-3.90769311028799,0.00339891716552261,0.999986929681086,-3.46295264129738
"205295_at",-0.505725,6.0272875,-3.89919898047595,0.00344389451362188,0.999986929681086,-3.46552719571161
"203337_x_at",-1.1972675,8.20233375,-3.88886722653794,0.00349945031573733,0.999986929681086,-3.46866824423389
"230559_x_at",1.0911875,4.11556375,3.86323672923385,0.00364139165821999,0.999986929681086,-3.47650560504198
"212554_at",0.643257500000001,10.14979625,3.85850939862186,0.00366822815922266,0.999986929681086,-3.47795819586077
"219825_at",-1.1963375,6.65981125,-3.85486492138037,0.00368905972937841,0.999986929681086,-3.47907955575934
"214307_at",0.514589999999999,4.9699425,3.83307605092727,0.00381623255958107,0.999986929681086,-3.48581106168339
"205221_at",1.00596,5.9377775,3.82352164950538,0.003873447007427,0.999986929681086,-3.48877762674216
"215913_s_at",0.551770000000002,6.891005,3.79978998550573,0.00401950300801951,0.999986929681086,-3.49618528894507
"203158_s_at",0.729075,9.036795,3.76707509795316,0.00423041902667719,0.999986929681086,-3.50648888391069
"228754_at",0.7992875,8.74868875,3.75863805059069,0.00428668069465863,0.999986929681086,-3.50916347535933
"206290_s_at",1.122745,7.6477425,3.75847851298465,0.00428775210621648,0.999986929681086,-3.50921411828146
"218469_at",0.637675000000003,13.2023125,3.75644067595833,0.00430146246974339,0.999986929681086,-3.50986122448927
"206625_at",-0.8809775,6.78383875,-3.75018385707201,0.00434384652619791,0.999986929681086,-3.51185064827629
"219926_at",0.638534999999999,8.87504,3.73567689034023,0.00444381568651144,0.999986929681086,-3.51647839377489
"206932_at",-0.558712499999999,8.56012125,-3.72760356050103,0.00450049459702106,0.999986929681086,-3.51906294776787
"235210_s_at",2.4372725,6.84078875,3.71921935265776,0.00456016077268627,0.999986929681086,-3.52175395913641
"205990_s_at",0.877892500000002,9.28671125,3.71870082091523,0.00456387808533807,0.999986929681086,-3.52192062024767
"214974_x_at",-1.21491,7.011305,-3.7186534454177,0.00456421787517494,0.999986929681086,-3.52193584853915
"230869_at",0.7933275,4.98979375,3.70748049834595,0.0046451002154996,0.999986929681086,-3.52553357040123
"234994_at",0.555075,12.1175625,3.70629611225163,0.0046537619535788,0.999986929681086,-3.52591568334425
"232287_at",0.6625225,8.42817125,3.70293083268606,0.00467846585490814,0.999986929681086,-3.52700217938274
"225606_at",-0.5668825,5.93023375,-3.68429007084156,0.00481782079816914,0.999986929681086,-3.53304112886527
"211162_x_at",-0.664012500000002,8.19384125,-3.6001475966969,0.00550325040374256,0.999986929681086,-3.56073836610539
"209396_s_at",-2.1399525,7.17967375,-3.57274784703542,0.00574791345062507,0.999986929681086,-3.56991304404692
"237252_at",-0.843662499999999,6.76673625,-3.56936744686724,0.00577887787109913,0.999986929681086,-3.57105026676432
"219779_at",0.546922500000001,8.29999625,3.55780214257976,0.00588614238280673,0.999986929681086,-3.57494986044417
"233234_at",0.841107500000002,7.12450625,3.55696605329026,0.00589397713241485,0.999986929681086,-3.57523230342883
"223775_at",2.525175,5.9071375,3.55521341144628,0.00591043604563546,0.999986929681086,-3.57582460307636
