"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_21_P0005499",-1.6197368625,3.41538185,-2.95744563375484,0.0128710342081632,0.955680307052298,-4.03312130526456
"A_33_P3243622",-0.848734512500001,7.89330074166667,-2.95405652410341,0.0129497267003376,0.955680307052298,-4.0340821957924
"A_33_P3257861",-0.627827375000003,9.48963779166667,-2.95382872601262,0.0129550332838238,0.955680307052298,-4.03414680628098
"A_19_P00323025",-0.6088257125,3.50089561666667,-2.95380531301928,0.0129555788159559,0.955680307052298,-4.03415344709494
"A_33_P3233645",-1.72736065,8.59348748333333,-2.94889409042921,0.0130705234490663,0.955680307052298,-4.03554717563587
"A_33_P3359590",-0.535419187500001,4.222750125,-2.94660194784551,0.0131245196082404,0.955680307052298,-4.03619813950232
"A_23_P150549",-2.154266825,10.4480867416667,-2.94062756396918,0.0132663128474518,0.955680307052298,-4.03789631327434
"A_32_P39444",1.16069635,2.39027384166667,2.94048796889533,0.0132696442411787,0.955680307052298,-4.03793601733469
"A_23_P149946",-0.7422255625,4.91567418333333,-2.93950045437961,0.0132932349501829,0.955680307052298,-4.0382169220856
"A_21_P0001563",-1.1473532875,3.07282595833333,-2.93681949990394,0.0133574925445484,0.955680307052298,-4.03897982648441
"A_23_P47728",1.162595575,3.34812324166667,2.93574298506664,0.0133833822199959,0.955680307052298,-4.03928628351068
"A_33_P3386765",-0.567774500000002,10.9464624166667,-2.93547685882401,0.0133897901852514,0.955680307052298,-4.03936205355714
"A_24_P23411",-1.1127297875,9.45250414166667,-2.93323414372387,0.0134439141407506,0.955680307052298,-4.04000075297242
"A_24_P117954",-0.801265662500001,8.39697201666667,-2.93317269336323,0.0134454002202449,0.955680307052298,-4.04001825749025
"A_21_P0010618",1.6775941625,3.48474250833333,2.93113547268191,0.0134947605289922,0.955680307052298,-4.04059869810172
"A_23_P22647",1.087249575,2.3352335,2.92474350848114,0.0136508153358782,0.955680307052298,-4.04242146365625
"A_21_P0013944",0.789081937499999,5.306885925,2.92408169079437,0.0136670760904084,0.955680307052298,-4.04261032773839
"A_21_P0013995",-0.934756199999999,4.59762745,-2.92103387869432,0.0137422112664987,0.955680307052298,-4.04348041780352
"A_21_P0007899",-0.6376407,1.7207797,-2.91365135796732,0.0139259264766535,0.955680307052298,-4.04559022807391
"A_24_P46953",0.959388924999999,7.52426669166667,2.91335765992192,0.0139332858772809,0.955680307052298,-4.04567422808198
