"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","5/47","159/9512",0.0314465408805031,6.36424461394353,4.80654905981625,0.00106669913182919,0.00263867679978799,0.00109329273899391,"9021/7124/3627/4790/5970",5
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","4/47","93/9512",0.043010752688172,8.70464424616793,5.26130376619088,0.00110758754951436,0.00270423973128181,0.00112045767141576,"4616/10912/4790/5970",4
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","3/47","42/9512",0.0714285714285714,14.4559270516717,6.15835882966666,0.00113401600131426,0.00273326933650104,0.00113248561534758,"3162/2729/2730",3
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","4/47","99/9512",0.0404040404040404,8.17709004943048,5.05828941002186,0.00139747769929294,0.00332564313249458,0.00137792604593841,"2353/3725/1432/5599",4
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","5/47","170/9512",0.0294117647058824,5.95244055068836,4.59119259015696,0.00143731223248749,0.00337768374634559,0.00139948822636939,"3162/4616/10912/1728/7296",5
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","5/47","172/9512",0.0290697674418605,5.88322612568036,4.5540661163474,0.00151377358122926,0.00351344979347039,0.00145574067590599,"3303/3304/3320/3326/5599",5
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","3/47","49/9512",0.0612244897959184,12.3907946157186,5.63299482056477,0.00177648249749538,0.00407291109181867,0.00168754434935376,"3725/4790/5970",3
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","4/47","106/9512",0.0377358490566038,7.63709353673224,4.84205919309203,0.00179831441848373,0.00407329049005954,0.00168770154683318,"3320/3326/4790/5970",4
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","7/47","362/9512",0.0193370165745856,3.91348301398848,3.9825197601361,0.00184353422188097,0.0041260051632574,0.00170954301277182,"6446/3320/3326/3569/3643/4790/5970",7
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","4/47","111/9512",0.036036036036036,7.29308031435691,4.69936792249174,0.0021293882646728,0.00470970580892336,0.00195138986483947,"3320/3326/1432/5599",4
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","8/47","483/9512",0.0165631469979296,3.3520990264746,3.73861764770658,0.00227740575981359,0.0049785149168018,0.00206276653887645,"1432/6647/847/3569/7124/5599/4790/5970",8
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","5/47","205/9512",0.024390243902439,4.93617021276596,4.01464968132138,0.0032562309111557,0.00703645300341691,0.00291543965427128,"1432/3643/5599/4790/5970",5
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","3/47","64/9512",0.046875,9.48670212765957,4.8002152751805,0.00381485019095912,0.00814990722613994,0.00337678126950927,"3290/3291/1584",3
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","3/47","68/9512",0.0441176470588235,8.92866082603254,4.62357618071141,0.00452598219322639,0.00956050171153441,0.00396123811116207,"7704/4790/5970",3
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","4/47","138/9512",0.0289855072463768,5.86617329633056,4.05757307885421,0.00466701700816452,0.00974181898578353,0.00403636396947358,"8651/9021/3643/5599",4
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","3/47","69/9512",0.0434782608695652,8.79925994449584,4.58167897888596,0.00471545493460798,0.00974181898578353,0.00403636396947358,"1432/7124/5599",3
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","4/47","148/9512",0.027027027027027,5.46981023576768,3.86181043344225,0.00597436259168592,0.0122084800786625,0.00505838480302927,"2353/3725/4616/10912",4
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","4/47","157/9512",0.0254777070063694,5.15625423499119,3.70025578359209,0.0073428150654213,0.0148435401322495,0.00615017900216385,"6446/1051/1432/5468",4
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","4/47","159/9512",0.0251572327044025,5.09139569115482,3.6660323173069,0.00767279463181945,0.0153455892636389,0.00635819487967121,"3320/3326/7124/5599",4
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","3/47","83/9512",0.036144578313253,7.3150474237375,4.07178234790143,0.00788084278455508,0.0155957730894353,0.00646185447154655,"6647/6648/847",3
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","3/47","93/9512",0.032258064516129,6.52848318462594,3.7752592425098,0.0107550756776673,0.0210620232020984,0.00872670614196688,"3725/1432/5599",3
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","6/47","391/9512",0.0153452685421995,3.10562115688088,2.99605027788957,0.0119818009529295,0.0232224595788738,0.00962184775384467,"3569/7124/3643/5599/4790/5970",6
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","3/47","99/9512",0.0303030303030303,6.13281753707286,3.61752136486157,0.0127353280100758,0.0244310374070841,0.01012260228513,"2353/3725/5599",3
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","2/47","37/9512",0.0540540540540541,10.9396204715354,4.26857351339963,0.0142583130836847,0.0270763925225527,0.0112186620754138,"3569/7124",2
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","3/47","105/9512",0.0285714285714286,5.78237082066869,3.47227438112396,0.0149115325905805,0.0280336812702913,0.0116152990705574,"3725/5599/5970",3
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","2/47","45/9512",0.0444444444444444,8.99479905437352,3.78799442721003,0.0206723021849094,0.0384791367402273,0.0159432033526138,"3569/7124",2
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","2/47","52/9512",0.0384615384615385,7.78396072013093,3.45653643355774,0.027091680839284,0.0499336862527979,0.0206892093096699,"2729/2730",2
