gene,logFC,P.Value,adj.P.Val
7-DEHYDROCHOLESTEROL REDUCTASE,-0.2244575,0.1947580971238,0.999986929681086
8-OXOGUANINE DNA GLYCOSYLASE,-0.0886200000000006,0.50868883347592,0.999986929681086
A-RAF PROTO-ONCOGENE,-0.069512500000001,0.64328391032272,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 1,-0.2154525,0.0922852607973938,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 10,0.1564975,0.361796395858664,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 11,0.129680000000001,0.31937269805365,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 12,0.655537499999998,0.0494666968576906,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 13,0.158525,0.207765772262327,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 14,0.154045,0.272265269970698,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 17A,-0.156502499999998,0.145282903639608,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 2,-0.155825,0.259795366002259,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 3,-0.230562500000002,0.189444233929355,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 4,-0.00527500000000281,0.964561054542088,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 5,0.241187500000002,0.108562577469379,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 6,0.05016,0.666870979286644,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 7,0.2284525,0.417676010557508,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 8,-0.0989950000000022,0.311389601530888,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 8-LIKE,-0.223942500000001,0.204550460390189,0.999986929681086
A KINASE (PRKA) ANCHOR PROTEIN 9,0.0631825000000008,0.487487666245837,0.999986929681086
A KINASE (PRKA) INTERACTING PROTEIN 1,-0.1398575,0.307489043963247,0.999986929681086
A1BG ANTISENSE RNA 1,0.0530349999999986,0.706410822925842,0.999986929681086
A2M ANTISENSE RNA 1,-0.223562499999999,0.514898114727721,0.999986929681086
AAR2 SPLICING FACTOR HOMOLOG (S. CEREVISIAE),-0.0723275000000001,0.558039653304551,0.999986929681086
AARF DOMAIN CONTAINING KINASE 1,-0.0513875000000006,0.619237194039346,0.999986929681086
AARF DOMAIN CONTAINING KINASE 2,-0.193264999999999,0.473486687967778,0.999986929681086
AARF DOMAIN CONTAINING KINASE 3,-0.1760175,0.217335317822359,0.999986929681086
AARF DOMAIN CONTAINING KINASE 4,-0.193450000000001,0.153677232525064,0.999986929681086
AARF DOMAIN CONTAINING KINASE 5,-0.0410624999999989,0.71501652451103,0.999986929681086
ABELSON HELPER INTEGRATION SITE 1,0.124647500000001,0.204734029521974,0.999986929681086
ABHD14A-ACY1 READTHROUGH (NMD CANDIDATE),-0.23241,0.24601754309292,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 1,0.142114999999998,0.201185102144757,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 10,0.214224999999997,0.212022536501628,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 11,-0.110397500000001,0.402938428398721,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 12,0.236794999999999,0.145369571101106,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 12B,-0.0784600000000006,0.486846021304032,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 13,-0.24558,0.519376699703479,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 14A,0.0331975000000035,0.774921021214268,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 14B,-0.125959999999999,0.36583641819118,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 15,0.108945000000001,0.649470570711709,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 16A,0.168907499999999,0.361723736961539,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 16B,0.196459999999999,0.149427891500203,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 17A,0.113424999999999,0.56031618968073,0.999986929681086
ABHYDROLASE DOMAIN CONTAINING 17B,-0.132942500000002,0.205544169104292,0.999986929681086
