PROBE,logFC,AveExpr,t,P.Value,adj.P.Val,B
1552394_a_at,0.00360999999999922,2.9221125,0.0367947762855877,0.971431133846429,0.999986929681086,-4.83093899329043
1552395_at,-0.00343499999999786,7.3191475,-0.0373897808878575,0.970969386212515,0.999986929681086,-4.83092979019298
1552396_at,-0.1046675,4.73088875,-0.69293336656179,0.505389023918142,0.999986929681086,-4.73513525037635
1552398_a_at,-0.169299999999999,3.26265,-1.68300277085598,0.125779682289754,0.999986929681086,-4.35785921111784
1552399_a_at,-0.0883349999999989,4.9184375,-0.937601104881215,0.372302336341044,0.999986929681086,-4.66101377538934
1552400_a_at,0.00501999999999914,5.6314275,0.0383698996986875,0.970208799280239,0.999986929681086,-4.83091430871104
1552401_a_at,0.0677625000000006,3.68315125,0.648315075190176,0.532555740452866,0.999986929681086,-4.74668509513076
1552402_at,0.137999999999999,4.51865,0.925730715761722,0.378123872398677,0.999986929681086,-4.66499719672873
1552405_at,-0.0447249999999997,5.1853375,-0.322179238675932,0.754485172942882,0.999986929681086,-4.80976972400243
1552408_at,0.0589624999999994,3.70413875,0.353429781899114,0.731694109695572,0.999986929681086,-4.80545373977413
1552409_a_at,-0.0119924999999999,6.69696125,-0.0943376201494475,0.926854579579585,0.999986929681086,-4.82936676544704
1552410_at,0.050955000000001,5.9736575,0.338129418751185,0.742819769714035,0.999986929681086,-4.80761476683463
1552411_at,-0.0211775000000021,7.50797875,-0.195996921253274,0.848854296738231,0.999986929681086,-4.82323692989076
1552412_a_at,0.1652325,4.42416375,1.66401290470227,0.129582107185209,0.999986929681086,-4.36641500909839
1552414_at,-0.0344975000000023,5.30537625,-0.243008695521126,0.81330619504067,0.999986929681086,-4.81896943955423
1552415_a_at,0.0483274999999983,5.22917125,0.366630616888148,0.722147739673408,0.999986929681086,-4.80351579265683
1552417_a_at,0.124745000000001,5.389715,0.476127822603297,0.645037186252432,0.999986929681086,-4.78486673590771
1552418_at,-0.0398550000000011,5.6064525,-0.419372665208783,0.684523430569386,0.999986929681086,-4.7951011515222
1552419_s_at,0.0834075000000016,6.15763375,0.632279742077853,0.542527185123186,0.999986929681086,-4.75067525408926
1552421_a_at,-0.0367449999999989,3.86388,-0.354333962274123,0.731038664043577,0.999986929681086,-4.80532316804667
1552422_at,0.105819999999999,5.78239,0.496813577633043,0.630923219322271,0.999986929681086,-4.78083868089469
1552423_at,-0.0285524999999982,5.00253375,-0.293048132765059,0.775958651651264,0.999986929681086,-4.81344588177602
1552424_at,-0.0365075000000008,3.60026375,-0.342275022759687,0.739798951433944,0.999986929681086,-4.80703829669706
1552425_a_at,0.000924999999998732,4.484145,0.0073297940692932,0.994307502037858,0.999986929681086,-4.83121009866992
1552426_a_at,-0.228332499999997,9.93036125,-0.745940994690246,0.474247206132508,0.999986929681086,-4.72058243810548
1552427_at,-0.2237325,3.76862875,-1.4551180609933,0.178743332771565,0.999986929681086,-4.45873019426827
1552430_at,-0.0346950000000001,2.70187,-0.275261172386998,0.789170560624412,0.999986929681086,-4.81552437442571
1552432_at,-0.104432499999998,5.97992625,-0.824815643969309,0.430248880333797,0.999986929681086,-4.69733450353927
1552436_a_at,-0.0499550000000006,5.5522675,-0.244525613944843,0.812166145143859,0.999986929681086,-4.81881680549741
1552438_a_at,-0.00391750000000002,4.15767875,-0.0378264507549801,0.970630519967917,0.999986929681086,-4.83092294221988
1552439_s_at,0.0641175000000009,3.02442625,0.664940663614245,0.522332648568548,0.999986929681086,-4.7424577168626
1552440_at,0.00895250000000125,5.55611125,0.0959067947784252,0.925641999773837,0.999986929681086,-4.8293046072691
1552445_a_at,0.0631074999999992,4.43190625,0.481352332303137,0.641458034236084,0.999986929681086,-4.78386425274012
1552448_a_at,-0.03925,4.9254025,-0.351308551259671,0.733232700412766,0.999986929681086,-4.80575881156941
1552449_a_at,0.037587499999999,4.03611625,0.362149394951911,0.725382830369118,0.999986929681086,-4.80418126386518
1552450_a_at,0.119372499999999,5.80493375,1.07458108363794,0.309814032662156,0.999986929681086,-4.61254866510838
1552452_at,-0.0791225000000004,3.53234125,-0.773779305866225,0.458395428122415,0.999986929681086,-4.71258991974945
1552453_a_at,0.0808,5.1300525,0.827510610650883,0.428795759649107,0.999986929681086,-4.69650778638086
1552455_at,-0.0752024999999996,5.26682875,-0.431573464132484,0.675943972641084,0.999986929681086,-4.79300319681391
1552456_a_at,0.157369999999999,5.6933975,1.03255883207022,0.32807195472615,0.999986929681086,-4.62788528517947
1552457_a_at,0.00554249999999978,7.62331625,0.0301326713587453,0.976601919564407,0.999986929681086,-4.8310319615303
1552458_at,-0.18176,4.6432675,-1.03375399744999,0.327541607048093,0.999986929681086,-4.62745460031121
1552459_a_at,0.0204399999999998,5.671035,0.18004298642575,0.861004612565671,0.999986929681086,-4.82448032581605
1552461_at,0.1282125,3.33942875,1.32831178870755,0.215939359502961,0.999986929681086,-4.51252878811088
1552463_at,0.0472049999999999,4.19138,0.425678602589774,0.68008312498496,0.999986929681086,-4.79402387292393
1552466_x_at,0.0603900000000004,2.9450975,0.738046427607867,0.478806030792036,0.999986929681086,-4.72280571253875
1552467_at,-0.0329499999999987,6.8506275,-0.219147677677355,0.831298269107197,0.999986929681086,-4.82124772737219
1552468_a_at,-0.0245850000000019,5.82388,-0.163257130636974,0.873830120258448,0.999986929681086,-4.82567588878386
1552470_a_at,-0.175864999999999,5.5442175,-0.756537629248861,0.46817202838271,0.999986929681086,-4.71756798687349
1552472_a_at,0.161445,7.0916025,0.77871320191078,0.45562252068989,0.999986929681086,-4.71114884096563
1552473_at,0.0192049999999995,8.802025,0.128413833681061,0.900572433374022,0.999986929681086,-4.82778730365067
1552474_a_at,0.0808299999999988,9.4240425,0.39577640089074,0.701250905229979,0.999986929681086,-4.79899786240691
1552476_s_at,0.0568750000000007,7.0480575,0.433872599065421,0.674332695671548,0.999986929681086,-4.79260154835049
1552477_a_at,-0.1151175,3.90927625,-0.395370250860737,0.70154034747113,0.999986929681086,-4.79906306968716
1552478_a_at,0.1734125,3.71633875,1.57304836935484,0.149274532297928,0.999986929681086,-4.4070675491772
1552480_s_at,0.0745,2.6539175,0.75765816595223,0.467532566692826,0.999986929681086,-4.71724721121063
1552481_s_at,0.0592174999999999,5.89879375,0.292429574328807,0.776416866460373,0.999986929681086,-4.81352028368105
1552482_at,0.0874575000000002,3.38063875,0.895077800179357,0.393458627973871,0.999986929681086,-4.67511290012621
1552484_at,0.0762224999999992,6.21895125,0.739024723957098,0.478239584865664,0.999986929681086,-4.72253125245857
1552485_at,0.0504725000000015,8.99229125,0.24131776651149,0.814577569149456,0.999986929681086,-4.81913848627051
1552486_s_at,0.0717499999999998,8.5310475,0.207789698772445,0.839899789582936,0.999986929681086,-4.82225095318711
1552487_a_at,-0.741507500000001,7.11795125,-3.11954723501677,0.0119411091132197,0.999986929681086,-3.73282852124437
1552489_s_at,0.00318500000000022,6.070575,0.0097143593785878,0.992455646729265,0.999986929681086,-4.83120162280238
1552490_at,0.0554274999999986,4.35474625,0.336783295273252,0.743801662851042,0.999986929681086,-4.80780050242136
1552491_at,0.031787500000001,5.79343875,0.317574955171695,0.757864962210645,0.999986929681086,-4.81037313096586
1552493_s_at,0.0342574999999989,5.90262125,0.310363308749371,0.763169565488158,0.999986929681086,-4.81130138957489
1552494_at,-0.0817950000000014,5.017395,-0.827106038005354,0.429013691411219,0.999986929681086,-4.69663202764872
1552496_a_at,0.0335649999999994,4.845905,0.384173984116768,0.709539151183828,0.999986929681086,-4.80083565443968
1552497_a_at,0.306182500000001,5.40913125,2.51746222764939,0.0322750021162663,0.999986929681086,-3.98021336143885
1552498_at,-0.0348549999999994,5.4558325,-0.330849882862847,0.748135416001524,0.999986929681086,-4.80861069623653
