Gene_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,Is_Significant,Gene_Class
HBG1,1.0160024311340354,-7.870908325870754e-7,0.001442694784003397,0.22720276183785681,NA,FALSE,Not Significant
HBG2,2.1984682863258875,3.8394680377100135e-7,0.0014426940092993575,0.6436386934104876,NA,FALSE,Not Significant
HBM,1.0270086969938401,-1.0904767542037903e-6,0.0014426948203329168,0.10579865613630349,NA,FALSE,Not Significant
HBP1,2807.5327013889155,4.750404545748647e-6,0.0014426159953708309,0.5391718262158554,0.9749914721482018,FALSE,Not Significant
HBQ1,5.17607602962012,1.7735730234854182e-6,0.0014426934931011954,0.15520736144500008,0.9070001564911886,FALSE,Not Significant
HBS1L,1396.385415029815,-4.2360681727357943e-7,0.0014424187397111049,0.9752128523451934,0.9980969084471563,FALSE,Not Significant
HBZ,0.3143609037320555,-1.3355891250578638e-9,0.001442694888537013,0.9947601218971761,NA,FALSE,Not Significant
HCAR1,3.4475294824092724,-5.560937042634213e-7,0.0014426930615759137,0.6412050238630084,NA,FALSE,Not Significant
HCAR2,2.8242585661828308,-8.667395906959835e-7,0.0014426946082080865,0.8762537323608279,NA,FALSE,Not Significant
HCAR3,1.40114093369783,-3.3031179245947594e-6,0.0014426957431154695,0.7556417304814949,NA,FALSE,Not Significant
HCCS,691.8803357028708,1.1438154739135736e-5,0.0014425799936748551,0.25142965694350333,0.937048026889252,FALSE,Not Significant
HCFC1,3024.5842100530626,3.528121577480744e-6,0.0014425590972860706,0.72511883233858,0.9803887877020304,FALSE,Not Significant
HCFC1R1,727.4107812471871,-1.0169479850548963e-5,0.0014426504890850782,0.12989712586299065,0.8944673188199271,FALSE,Not Significant
HCFC2,519.8195316265163,3.852737890758833e-6,0.0014426246654281754,0.596014241008249,0.9767787398092955,FALSE,Not Significant
HCG11,272.2332755266533,7.192211648412019e-6,0.001442652542127585,0.23929648023631658,0.9369526205721378,FALSE,Not Significant
HCG14,0.045645635019319786,-2.7916783322486126e-7,0.0014426949801293776,0.874064894828047,NA,FALSE,Not Significant
HCG15,13.284858787133569,5.1970153127959865e-6,0.0014426913075737484,0.037539534458959606,0.7525549328999028,FALSE,Not Significant
HCG17,11.920784164207419,3.815350329535923e-7,0.0014426764347316098,0.9174376050478544,0.9940936172888066,FALSE,Not Significant
HCG18,480.8229192967335,-5.487918688919217e-6,0.0014426130845688334,0.48606596266582053,0.9701961976589009,FALSE,Not Significant
